Record,Date,UTC Time,Frecuencia,Presion,caudal1,caudal2
     45059, 1/02/1970,18:06:31,   5.000000E-01,   1.469523E+01,   4.545455E-01,   1.448466E+01
     45060, 1/02/1970,18:06:31,   5.000000E-01,   1.470343E+01,   4.545455E-01,   1.684855E+01
     45061, 1/02/1970,18:06:31,   5.000000E-01,   1.459677E+01,   4.545455E-01,   1.851751E+01
     45062, 1/02/1970,18:06:32,   5.000000E-01,   1.456395E+01,   4.545455E-01,   1.774495E+01
     45063, 1/02/1970,18:06:32,   5.000000E-01,   1.463779E+01,   4.545455E-01,   1.572852E+01
     45064, 1/02/1970,18:06:33,   5.000000E-01,   1.461318E+01,   4.545455E-01,   1.429614E+01
     45065, 1/02/1970,18:06:33,   5.000000E-01,   1.462959E+01,   4.545455E-01,   1.652142E+01
     45066, 1/02/1970,18:06:33,   5.000000E-01,   1.467061E+01,   4.545455E-01,   1.857665E+01
     45067, 1/02/1970,18:06:34,   5.000000E-01,   1.447369E+01,   4.545455E-01,   1.792238E+01
     45068, 1/02/1970,18:06:34,   5.000000E-01,   1.452292E+01,   4.545455E-01,   1.588377E+01
     45069, 1/02/1970,18:06:35,   5.000000E-01,   1.469523E+01,   4.545455E-01,   1.425363E+01
     45070, 1/02/1970,18:06:35,   5.000000E-01,   1.457215E+01,   4.545455E-01,   1.668776E+01
     45071, 1/02/1970,18:06:35,   5.000000E-01,   1.460497E+01,   4.545455E-01,   1.872266E+01
     45072, 1/02/1970,18:06:36,   5.000000E-01,   1.461318E+01,   4.545455E-01,   1.814971E+01
     45073, 1/02/1970,18:06:36,   5.000000E-01,   1.449010E+01,   4.545455E-01,   1.598543E+01
     45074, 1/02/1970,18:06:37,   5.000000E-01,   1.462959E+01,   4.545455E-01,   1.434604E+01
     45075, 1/02/1970,18:06:37,   5.000000E-01,   1.468702E+01,   4.545455E-01,   1.682083E+01
     45076, 1/02/1970,18:06:37,   5.000000E-01,   1.455574E+01,   4.545455E-01,   1.874854E+01
     45077, 1/02/1970,18:06:38,   5.000000E-01,   1.455574E+01,   4.545455E-01,   1.821440E+01
     45078, 1/02/1970,18:06:38,   5.000000E-01,   1.458036E+01,   4.545455E-01,   1.608893E+01
     45079, 1/02/1970,18:06:39,   5.000000E-01,   1.466241E+01,   4.545455E-01,   1.418894E+01
     45080, 1/02/1970,18:06:39,   5.000000E-01,   1.462959E+01,   4.545455E-01,   1.656762E+01
     45081, 1/02/1970,18:06:39,   5.000000E-01,   1.464600E+01,   4.545455E-01,   1.868940E+01
     45082, 1/02/1970,18:06:40,   5.000000E-01,   1.461318E+01,   4.545455E-01,   1.816819E+01
     45083, 1/02/1970,18:06:40,   5.000000E-01,   1.454754E+01,   4.545455E-01,   1.614437E+01
     45084, 1/02/1970,18:06:41,   5.000000E-01,   1.467061E+01,   4.545455E-01,   1.434235E+01
     45085, 1/02/1970,18:06:41,   5.000000E-01,   1.470343E+01,   4.545455E-01,   1.661567E+01
     45086, 1/02/1970,18:06:41,   5.000000E-01,   1.458036E+01,   4.545455E-01,   1.860253E+01
     45087, 1/02/1970,18:06:42,   5.000000E-01,   1.456395E+01,   4.545455E-01,   1.795934E+01
     45088, 1/02/1970,18:06:42,   5.000000E-01,   1.462138E+01,   4.545455E-01,   1.563057E+01
