Record,Date,UTC Time,Frecuencia,Presion,caudal1,caudal2
     36058, 1/01/1970, 4:36:32,   5.555555E+00,   1.469523E+01,   7.575758E-01,   1.571928E+01
     36059, 1/01/1970, 4:36:33,   5.555555E+00,   1.471984E+01,   7.575758E-01,   1.586160E+01
     36060, 1/01/1970, 4:36:33,   5.555555E+00,   1.461318E+01,   7.575758E-01,   1.604642E+01
     36061, 1/01/1970, 4:36:33,   5.555555E+00,   1.472805E+01,   7.575758E-01,   1.618873E+01
     36062, 1/01/1970, 4:36:34,   5.555555E+00,   1.473625E+01,   7.575758E-01,   1.596325E+01
     36063, 1/01/1970, 4:36:34,   5.555555E+00,   1.475266E+01,   7.575758E-01,   1.554370E+01
     36064, 1/01/1970, 4:36:35,   5.555555E+00,   1.483471E+01,   7.575758E-01,   1.575625E+01
     36065, 1/01/1970, 4:36:35,   5.555555E+00,   1.457215E+01,   7.575758E-01,   1.586714E+01
     36066, 1/01/1970, 4:36:35,   5.555555E+00,   1.476087E+01,   7.575758E-01,   1.592074E+01
     36067, 1/01/1970, 4:36:36,   5.555555E+00,   1.471984E+01,   7.575758E-01,   1.581354E+01
     36068, 1/01/1970, 4:36:36,   5.555555E+00,   1.466241E+01,   7.575758E-01,   1.574516E+01
     36069, 1/01/1970, 4:36:37,   5.555555E+00,   1.488395E+01,   7.575758E-01,   1.596325E+01
     36070, 1/01/1970, 4:36:37,   5.555555E+00,   1.462138E+01,   7.575758E-01,   1.615362E+01
     36071, 1/01/1970, 4:36:37,   5.555555E+00,   1.467061E+01,   7.575758E-01,   1.621091E+01
     36072, 1/01/1970, 4:36:38,   5.555555E+00,   1.473625E+01,   7.575758E-01,   1.594292E+01
     36073, 1/01/1970, 4:36:38,   5.555555E+00,   1.461318E+01,   7.575758E-01,   1.614807E+01
     36074, 1/01/1970, 4:36:39,   5.555555E+00,   1.478548E+01,   7.575758E-01,   1.614253E+01
     36075, 1/01/1970, 4:36:39,   5.555555E+00,   1.467061E+01,   7.575758E-01,   1.661937E+01
     36076, 1/01/1970, 4:36:39,   5.555555E+00,   1.464600E+01,   7.575758E-01,   1.666927E+01
     36077, 1/01/1970, 4:36:40,   5.555555E+00,   1.466241E+01,   7.575758E-01,   1.629408E+01
     36078, 1/01/1970, 4:36:40,   5.555555E+00,   1.472805E+01,   7.575758E-01,   1.637540E+01
     36079, 1/01/1970, 4:36:41,   5.555555E+00,   1.477728E+01,   7.575758E-01,   1.656208E+01
     36080, 1/01/1970, 4:36:41,   5.555555E+00,   1.460497E+01,   7.575758E-01,   1.653990E+01
     36081, 1/01/1970, 4:36:41,   5.555555E+00,   1.473625E+01,   7.575758E-01,   1.660643E+01
     36082, 1/01/1970, 4:36:42,   5.555555E+00,   1.463779E+01,   7.575758E-01,   1.633290E+01
     36083, 1/01/1970, 4:36:42,   5.555555E+00,   1.467061E+01,   7.575758E-01,   1.632181E+01
     36084, 1/01/1970, 4:36:43,   5.555555E+00,   1.481831E+01,   7.575758E-01,   1.652142E+01
     36085, 1/01/1970, 4:36:43,   5.555555E+00,   1.452292E+01,   7.575758E-01,   1.683562E+01
     36086, 1/01/1970, 4:36:43,   5.555555E+00,   1.464600E+01,   7.575758E-01,   1.656208E+01
     36087, 1/01/1970, 4:36:44,   5.555555E+00,   1.473625E+01,   7.575758E-01,   1.623679E+01
     36088, 1/01/1970, 4:36:44,   5.555555E+00,   1.462138E+01,   7.575758E-01,   1.626451E+01
     36089, 1/01/1970, 4:36:45,   5.555555E+00,   1.457215E+01,   7.575758E-01,   1.619428E+01
     36090, 1/01/1970, 4:36:45,   5.555555E+00,   1.462138E+01,   7.575758E-01,   1.659719E+01
     36091, 1/01/1970, 4:36:45,   5.555555E+00,   1.463779E+01,   7.575758E-01,   1.665264E+01
     36092, 1/01/1970, 4:36:46,   5.555555E+00,   1.460497E+01,   7.575758E-01,   1.640128E+01
     36093, 1/01/1970, 4:36:46,   5.555555E+00,   1.463779E+01,   7.575758E-01,   1.617210E+01
     36094, 1/01/1970, 4:36:47,   5.555555E+00,   1.452292E+01,   7.575758E-01,   1.648445E+01
     36095, 1/01/1970, 4:36:47,   5.555555E+00,   1.456395E+01,   7.575758E-01,   1.652696E+01
     36096, 1/01/1970, 4:36:47,   5.555555E+00,   1.467061E+01,   7.575758E-01,   1.672842E+01
     36097, 1/01/1970, 4:36:48,   5.555555E+00,   1.458856E+01,   7.575758E-01,   1.666003E+01
     36098, 1/01/1970, 4:36:48,   5.555555E+00,   1.475266E+01,   7.575758E-01,   1.670254E+01
     36099, 1/01/1970, 4:36:49,   5.555555E+00,   1.458036E+01,   7.575758E-01,   1.681898E+01
     36100, 1/01/1970, 4:36:49,   5.555555E+00,   1.460497E+01,   7.575758E-01,   1.691324E+01
     36101, 1/01/1970, 4:36:49,   5.555555E+00,   1.461318E+01,   7.575758E-01,   1.685040E+01
     36102, 1/01/1970, 4:36:50,   5.555555E+00,   1.463779E+01,   7.575758E-01,   1.683746E+01
     36103, 1/01/1970, 4:36:50,   5.555555E+00,   1.489215E+01,   7.575758E-01,   1.678571E+01
     36104, 1/01/1970, 4:36:51,   5.555555E+00,   1.453933E+01,   7.575758E-01,   1.701489E+01
     36105, 1/01/1970, 4:36:51,   5.555555E+00,   1.462959E+01,   7.575758E-01,   1.711655E+01
     36106, 1/01/1970, 4:36:51,   5.555555E+00,   1.463779E+01,   7.575758E-01,   1.703892E+01
     36107, 1/01/1970, 4:36:52,   5.555555E+00,   1.457215E+01,   7.575758E-01,   1.678941E+01
     36108, 1/01/1970, 4:36:52,   5.555555E+00,   1.491677E+01,   7.575758E-01,   1.689661E+01
     36109, 1/01/1970, 4:36:53,   5.555555E+00,   1.456395E+01,   7.575758E-01,   1.731615E+01
     36110, 1/01/1970, 4:36:53,   5.555555E+00,   1.457215E+01,   7.575758E-01,   1.695575E+01
     36111, 1/01/1970, 4:36:53,   5.555555E+00,   1.460497E+01,   7.575758E-01,   1.668221E+01
     36112, 1/01/1970, 4:36:54,   5.555555E+00,   1.462138E+01,   7.575758E-01,   1.671548E+01
     36113, 1/01/1970, 4:36:54,   5.555555E+00,   1.458856E+01,   7.575758E-01,   1.698717E+01
     36114, 1/01/1970, 4:36:55,   5.555555E+00,   1.454754E+01,   7.575758E-01,   1.699271E+01
     36115, 1/01/1970, 4:36:55,   5.555555E+00,   1.466241E+01,   7.575758E-01,   1.673396E+01
     36116, 1/01/1970, 4:36:55,   5.555555E+00,   1.450651E+01,   7.575758E-01,   1.668776E+01
     36117, 1/01/1970, 4:36:56,   5.555555E+00,   1.456395E+01,   7.575758E-01,   1.660643E+01
     36118, 1/01/1970, 4:36:56,   5.555555E+00,   1.455574E+01,   7.575758E-01,   1.668406E+01
     36119, 1/01/1970, 4:36:57,   5.555555E+00,   1.445728E+01,   7.575758E-01,   1.641052E+01
     36120, 1/01/1970, 4:36:57,   5.555555E+00,   1.458856E+01,   7.575758E-01,   1.654359E+01
     36121, 1/01/1970, 4:36:57,   5.555555E+00,   1.461318E+01,   7.575758E-01,   1.661383E+01
     36122, 1/01/1970, 4:36:58,   5.555555E+00,   1.459677E+01,   7.575758E-01,   1.663416E+01
     36123, 1/01/1970, 4:36:58,   5.555555E+00,   1.444087E+01,   7.575758E-01,   1.672842E+01
     36124, 1/01/1970, 4:36:59,   5.555555E+00,   1.455574E+01,   7.575758E-01,   1.676723E+01
     36125, 1/01/1970, 4:36:59,   5.555555E+00,   1.453933E+01,   7.575758E-01,   1.681898E+01
     36126, 1/01/1970, 4:36:59,   5.555555E+00,   1.450651E+01,   7.575758E-01,   1.676723E+01
     36127, 1/01/1970, 4:37:00,   5.555555E+00,   1.476907E+01,   7.575758E-01,   1.693727E+01
     36128, 1/01/1970, 4:37:00,   5.555555E+00,   1.441626E+01,   7.575758E-01,   1.720156E+01
     36129, 1/01/1970, 4:37:01,   5.555555E+00,   1.449831E+01,   7.575758E-01,   1.702044E+01
     36130, 1/01/1970, 4:37:01,   5.555555E+00,   1.458036E+01,   7.575758E-01,   1.647890E+01
     36131, 1/01/1970, 4:37:01,   5.555555E+00,   1.446549E+01,   7.575758E-01,   1.654544E+01
     36132, 1/01/1970, 4:37:02,   5.555555E+00,   1.475266E+01,   7.575758E-01,   1.690400E+01
     36133, 1/01/1970, 4:37:02,   5.555555E+00,   1.453933E+01,   7.575758E-01,   1.706849E+01
     36134, 1/01/1970, 4:37:03,   5.555555E+00,   1.444087E+01,   7.575758E-01,   1.698532E+01
     36135, 1/01/1970, 4:37:03,   5.555555E+00,   1.451472E+01,   7.575758E-01,   1.700381E+01
     36136, 1/01/1970, 4:37:03,   5.555555E+00,   1.455574E+01,   7.575758E-01,   1.693912E+01
     36137, 1/01/1970, 4:37:04,   5.555555E+00,   1.464600E+01,   7.575758E-01,   1.699456E+01
     36138, 1/01/1970, 4:37:04,   5.555555E+00,   1.443267E+01,   7.575758E-01,   1.681159E+01
     36139, 1/01/1970, 4:37:05,   5.555555E+00,   1.456395E+01,   7.575758E-01,   1.683192E+01
     36140, 1/01/1970, 4:37:05,   5.555555E+00,   1.447369E+01,   7.575758E-01,   1.678571E+01
     36141, 1/01/1970, 4:37:05,   5.555555E+00,   1.444087E+01,   7.575758E-01,   1.684116E+01
     36142, 1/01/1970, 4:37:06,   5.555555E+00,   1.458856E+01,   7.575758E-01,   1.669145E+01
     36143, 1/01/1970, 4:37:06,   5.555555E+00,   1.447369E+01,   7.575758E-01,   1.661383E+01
     36144, 1/01/1970, 4:37:07,   5.555555E+00,   1.449831E+01,   7.575758E-01,   1.650663E+01
     36145, 1/01/1970, 4:37:07,   5.555555E+00,   1.455574E+01,   7.575758E-01,   1.644933E+01
     36146, 1/01/1970, 4:37:07,   5.555555E+00,   1.439985E+01,   7.575758E-01,   1.662676E+01
     36147, 1/01/1970, 4:37:08,   5.555555E+00,   1.435062E+01,   7.575758E-01,   1.677462E+01
     36148, 1/01/1970, 4:37:08,   5.555555E+00,   1.439985E+01,   7.575758E-01,   1.668406E+01
     36149, 1/01/1970, 4:37:09,   5.555555E+00,   1.439985E+01,   7.575758E-01,   1.686888E+01
     36150, 1/01/1970, 4:37:09,   5.555555E+00,   1.439985E+01,   7.575758E-01,   1.710731E+01
     36151, 1/01/1970, 4:37:09,   5.555555E+00,   1.444908E+01,   7.575758E-01,   1.678941E+01
     36152, 1/01/1970, 4:37:10,   5.555555E+00,   1.440805E+01,   7.575758E-01,   1.620167E+01
     36153, 1/01/1970, 4:37:10,   5.555555E+00,   1.438344E+01,   7.575758E-01,   1.571374E+01
     36154, 1/01/1970, 4:37:11,   5.555555E+00,   1.449010E+01,   7.575758E-01,   1.523135E+01
     36155, 1/01/1970, 4:37:11,   5.555555E+00,   1.441626E+01,   7.575758E-01,   1.505392E+01
     36156, 1/01/1970, 4:37:11,   5.555555E+00,   1.459677E+01,   7.575758E-01,   1.471384E+01
     36157, 1/01/1970, 4:37:12,   5.555555E+00,   1.443267E+01,   7.575758E-01,   1.496890E+01
     36158, 1/01/1970, 4:37:12,   5.555555E+00,   1.443267E+01,   7.575758E-01,   1.475081E+01
     36159, 1/01/1970, 4:37:13,   5.555555E+00,   1.444908E+01,   7.575758E-01,   1.462697E+01
     36160, 1/01/1970, 4:37:13,   5.555555E+00,   1.449831E+01,   7.575758E-01,   1.441812E+01
     36161, 1/01/1970, 4:37:13,   5.555555E+00,   1.458856E+01,   7.575758E-01,   1.469721E+01
     36162, 1/01/1970, 4:37:14,   5.555555E+00,   1.433421E+01,   7.575758E-01,   1.498923E+01
     36163, 1/01/1970, 4:37:14,   5.555555E+00,   1.450651E+01,   7.575758E-01,   1.535888E+01
     36164, 1/01/1970, 4:37:15,   5.555555E+00,   1.447369E+01,   7.575758E-01,   1.523320E+01
     36165, 1/01/1970, 4:37:15,   5.555555E+00,   1.441626E+01,   7.575758E-01,   1.550489E+01
     36166, 1/01/1970, 4:37:15,   5.555555E+00,   1.452292E+01,   7.575758E-01,   1.576549E+01
     36167, 1/01/1970, 4:37:16,   5.555555E+00,   1.435882E+01,   7.575758E-01,   1.627745E+01
     36168, 1/01/1970, 4:37:16,   5.555555E+00,   1.446549E+01,   7.575758E-01,   1.629039E+01
     36169, 1/01/1970, 4:37:17,   5.555555E+00,   1.448190E+01,   7.575758E-01,   1.609817E+01
     36170, 1/01/1970, 4:37:17,   5.555555E+00,   1.444087E+01,   7.575758E-01,   1.618134E+01
     36171, 1/01/1970, 4:37:17,   5.555555E+00,   1.434241E+01,   7.575758E-01,   1.644749E+01
     36172, 1/01/1970, 4:37:18,   5.555555E+00,   1.442446E+01,   7.575758E-01,   1.674690E+01
     36173, 1/01/1970, 4:37:18,   5.555555E+00,   1.445728E+01,   7.575758E-01,   1.649369E+01
     36174, 1/01/1970, 4:37:19,   5.555555E+00,   1.444908E+01,   7.575758E-01,   1.677647E+01
     36175, 1/01/1970, 4:37:19,   5.555555E+00,   1.452292E+01,   7.575758E-01,   1.663416E+01
     36176, 1/01/1970, 4:37:19,   5.555555E+00,   1.430959E+01,   7.575758E-01,   1.654544E+01
     36177, 1/01/1970, 4:37:20,   5.555555E+00,   1.439164E+01,   7.575758E-01,   1.618319E+01
     36178, 1/01/1970, 4:37:20,   5.555555E+00,   1.451472E+01,   7.575758E-01,   1.598728E+01
     36179, 1/01/1970, 4:37:21,   5.555555E+00,   1.445728E+01,   7.575758E-01,   1.577843E+01
     36180, 1/01/1970, 4:37:21,   5.555555E+00,   1.455574E+01,   7.575758E-01,   1.584681E+01
     36181, 1/01/1970, 4:37:21,   5.555555E+00,   1.435882E+01,   7.575758E-01,   1.606490E+01
     36182, 1/01/1970, 4:37:22,   5.555555E+00,   1.441626E+01,   7.575758E-01,   1.616471E+01
     36183, 1/01/1970, 4:37:22,   5.555555E+00,   1.446549E+01,   7.575758E-01,   1.579321E+01
